Numero,Tópico,Enunciado de la Pregunta,Alt. A,Alt. B,Alt. C,Alt. D,Respuesta,Justificación Técnica
111,RIC 04: Canalización,¿Qué porcentaje máximo de la sección transversal de una bandeja pueden ocupar los cables?,20%,30%,40%,60%,C,El RIC 04 limita la ocupación de conductores al 40% de la sección útil de la bandeja para permitir la ventilación y peinado.
112,RIC 04: Canalización,¿A qué altura mínima sobre el suelo debe montarse una bandeja portaconductores horizontal?,"1,5 m","1,8 m","2,0 m","2,5 m",C,"Las canalizaciones tipo bandeja deben instalarse a una altura mínima de 2,0 metros para evitar daños mecánicos y obstrucciones."
113,RIC 10: Seguridad,¿Qué distancia mínima debe haber entre una canalización eléctrica y una de gas?,"0,2 m","0,3 m","0,5 m","0,6 m",D,"El punto 5.1.2.5 del RIC 10 establece una distancia mínima de seguridad de 0,60 m respecto a tuberías de otros servicios como el gas."
114,RIC 03: Demanda,¿Qué concepto técnico permite considerar que no todas las cargas operan simultáneamente?,Factor de potencia,Factor de diversidad,Factor de forma,Factor de pérdida,B,El factor de diversidad o simultaneidad se aplica para dimensionar la instalación considerando el uso probable de las cargas.
115,RIC 10: Calefacción,¿Qué protección es obligatoria para los circuitos destinados a equipos de calefacción?,Fusible,Diferencial 30 mA,Solo manual,Ninguna,B,"Todo circuito de uso general, incluyendo calefacción, debe contar con protección diferencial de 30 mA para seguridad de las personas."
116,RIC 18: Proyectos,¿A partir de qué potencia instalada es obligatorio presentar cálculos de iluminación?,10 kW,15 kW,20 kW,50 kW,C,El RIC 18 exige la inclusión de cálculos de iluminancia para proyectos con potencia declarada igual o superior a 20 kW.
117,RIC 18: Proyectos,¿A partir de qué potencia se exige un estudio de coordinación y selectividad de protecciones?,10 kW,15 kW,20 kW,100 kW,C,Se requiere un estudio de selectividad obligatorio para instalaciones que superen los 20 kW de potencia declarada.
118,RIC 06: Tierra,¿Cuál es el instrumento utilizado para medir la resistencia de los sistemas de puesta a tierra?,Voltímetro,Telurómetro,Aislamiento,Corriente,B,El telurómetro es el equipo diseñado para inyectar corriente y medir el potencial de la malla de tierra.
119,RIC 19: Verificación,¿Qué instrumento se utiliza para verificar la integridad de la aislación de los conductores?,Tierra,Megóhmetro,Fase,Frecuencia,B,La resistencia de aislamiento debe verificarse mediante un megóhmetro aplicando tensiones de ensayo elevadas.
120,RIC 10: Verificación,¿Qué tensión de ensayo se aplica para medir aislamiento en circuitos de 220 V?,250 V,500 V,1000 V,2500 V,B,"El RIC 10 especifica que para circuitos de hasta 500 V nominales, la tensión de prueba de aislamiento debe ser de 500 Vcc."
121,RIC 10: Protecciones,¿Cuál es el error técnico si el protector diferencial es de menor capacidad nominal que el disyuntor?,Es ahorro,Riesgo de daño al diferencial,Es permitido,Se ve mejor,B,"El diferencial debe estar protegido contra sobrecargas por el disyuntor termomagnético; si este último es de mayor capacidad, el diferencial puede quemarse ante un exceso de consumo antes de que el disyuntor opere."
122,RIC 18: Proyectos,¿Qué se verifica reglamentariamente en un informe de imágenes de aparatos?,El color de la pared,Conexionado interior de enchufes e interruptores,La marca de pintura,El precio,B,El RIC 18 exige documentar mediante imágenes el conexionado interno de aparatos (interruptores y enchufes) dentro de sus cajas.
123,RIC 10: Instalación,¿A qué altura se deben montar preferentemente los interruptores de alumbrado en zonas de escalas?,"0,5 m","0,8 a 1,4 m","1,5 m","2,0 m",B,"Según el RIC 10, todos los dispositivos de comando de alumbrado deben situarse a una altura entre 0,80 m y 1,40 m sobre el nivel del suelo."
124,RIC 10: Seguridad,¿Qué característica deben tener los interruptores instalados en zonas que queden a oscuras?,Alarma,Señal luminosa permanente,Ser de color rojo,Ser más grandes,B,"Para facilitar su ubicación segura en la oscuridad, se exige que cuenten con una señal luminosa de posición."
125,RIC 10: Fuerza,¿Qué sección mínima de conductor de cobre requiere un motor eléctrico fijo mayor a 3 HP?,"1,5 mm²","2,5 mm²","4,0 mm²",10 mm²,B,"El RIC 10 establece 2,5 mm² como la sección mínima para conductores que alimentan motores de potencia superior a 3 HP."
126,RIC 03: Demanda,¿Qué factor de demanda se aplica a un Hospital para los primeros 50.000 W de carga instalada?,"0,2","0,35","0,4",1,C,"Según la tabla de factores de demanda del RIC 03, los primeros 50 kW de carga en hospitales se calculan con un factor de 0,40."
127,RIC 03: Demanda,¿Qué factor de demanda se aplica reglamentariamente a una casa habitación para los primeros 3.000 W?,"0,35","0,5","0,75",1,D,"En viviendas, los primeros 3 kW de carga instalada se consideran siempre al 100% (factor 1,00) según el RIC 03."
128,RIC 06: Tierra,¿Cómo se denomina el método reglamentario de medida de resistencia de tierra que utiliza 3 electrodos?,De un punto,De dos puntos,De caída de potencial,De contacto,C,El método de caída de potencial (o del 62%) es el procedimiento estándar descrito en el RIC 06 para medir sistemas de puesta a tierra.
129,RIC 18: Proyectos,¿Qué información técnica debe mostrar obligatoriamente la foto de la zanja en una canalización subterránea?,El pasto,Profundidad y ducto utilizado,La pala,Al trabajador,B,"El RIC 18 exige que el informe de imágenes documente el proceso constructivo, incluyendo la profundidad de entierro y el tipo de canalización."
130,RIC 10: Emergencia,¿Qué autonomía mínima debe asegurar la luz de emergencia en edificios de gran altura (> 5 pisos)?,15 min,30 min,60 min,120 min,D,"Para edificios de altura, el RIC 10 y el RIC 02 exigen una autonomía de alumbrado de emergencia de al menos 2 horas (120 minutos)."
131,RIC 02: Tableros,¿Cuál es la sección mínima permitida para el conductor de puesta a tierra dentro de un tablero?,"1,5 mm²","2,5 mm²","4,0 mm²",10 mm²,C,"El RIC 06 y RIC 02 establecen que la sección mínima del conductor de protección que une el tablero con el electrodo de tierra es de 4,0 mm²."
132,RIC 10: Diseño,"¿Qué se define técnicamente como un ""arranque"" en el diseño de un proyecto eléctrico?",Un enchufe,Punto de conexión para una carga o circuito,El empalme,El medidor,B,El arranque es el punto de la instalación destinado a la conexión de cargas o a la derivación de circuitos finales.
133,RIC 10: Neutro,¿Qué sección mínima debe tener el conductor neutro en un sistema trifásico con cargas lineales?,50% de fase,Al menos igual a fase,Doble de fase,Cero,B,"En circuitos de uso general, la sección del neutro debe ser como mínimo igual a la sección de las fases para asegurar el retorno de corriente."
134,RIC 04: Seguridad,¿Qué resistencia al fuego (RF) mínima se exige para el shaft vertical que aloja alimentadores?,RF 60,RF 90,RF 120,RF 180,C,Las canalizaciones verticales (shafts) de alimentadores deben asegurar una compartimentación con resistencia al fuego de 120 minutos.
135,RIC 10: Alumbrado,¿Qué iluminancia mínima (lux) se exige reglamentariamente para un pasillo de tráfico general?,10 lux,50 lux,100 lux,300 lux,C,"Según el Anexo 10.1 del RIC 10, los pasillos de tráfico general requieren un mínimo de 100 lux a nivel de suelo para seguridad."
136,RIC 10: Alumbrado,¿Qué iluminancia mínima requiere una zona de escaleras según las tablas de uso general?,50 lux,100 lux,150 lux,500 lux,C,"Las zonas de escaleras, por su mayor riesgo de accidentes, requieren un nivel de iluminancia superior de 150 lux."
137,RIC 03: Demanda,"¿Qué factor de demanda se aplica por defecto a los ""Servicios Comunes"" de un edificio de departamentos?","0,5","0,8","0,9",1,D,"Las cargas de servicios comunes (bombas, ascensores, escalas) se calculan siempre con un factor de demanda de 1,00 según el RIC 03."
138,RIC 18: Proyectos,"¿Qué es técnicamente el ""Formulario TE Digital"" mencionado en la normativa?",Un plano,Documento oficial de declaración ante la SEC,Una factura,Un contrato,B,Es el instrumento digital a través del cual se realiza la declaración de puesta en servicio de la instalación ante la Superintendencia.
139,RIC 10: Cajas,¿Qué prohibición explícita establece el punto 5.1.2.6 del RIC 10 respecto a los módulos de comando?,Usar solo cobre,Instalar módulos sin caja de derivación,Usar tubos rojos,No usar diferenciales,B,Está prohibida la instalación de mecanismos (interruptores o enchufes) que no queden alojados dentro de una caja de derivación o aparato.
140,RIC 18: Proyectos,¿Cuál es el objetivo fundamental del Pliego Técnico Normativo RIC N° 18?,Cobrar multas,Establecer requisitos para presentación de proyectos,Vender cables,Hacer planos bonitos,B,El RIC 18 fija los estándares mínimos y la documentación necesaria para la elaboración y presentación de proyectos eléctricos ante la SEC.
141,RIC 10: Enchufes,¿A qué distancia se deben proyectar los enchufes en un dormitorio según el RIC 10?,Cada 1 metro,Uno doble/triple cada 8 m de perímetro,No hay regla,Cada 10 metros,B,El punto 5.4.1 del RIC 10 establece que en dormitorios se debe considerar al menos un enchufe doble o triple por cada 8 m de perímetro.
142,RIC 10: Alumbrado,¿Qué iluminancia mínima requiere una oficina destinada al tratamiento de datos?,100 lux,300 lux,500 lux,1000 lux,C,"Según el Anexo 10.1 del RIC 10, las tareas de oficina como escritura y tratamiento de datos requieren un mínimo de 500 lux."
143,RIC 10: Alumbrado,¿Qué iluminancia mínima (lux) se exige para una zona de dibujo técnico?,300 lux,500 lux,750 lux,1500 lux,C,"Las tareas de dibujo técnico requieren un nivel de iluminación más exigente, fijado en 750 lux por el Anexo 10.1 del RIC 10."
144,RIC 03: Alimentadores,¿Cuál es la sección mínima de conductor permitida para un alimentador de edificio?,"1,5 mm²","2,5 mm²","4,0 mm²",10 mm²,C,"El RIC 03 prohíbe explícitamente el uso de conductores de sección inferior a 4,0 mm² para alimentadores en instalaciones de consumo."
145,RIC 10: Seguridad,¿Qué grado de protección IP requiere un equipo instalado al exterior bajo techo?,IP20,IP41,IP44,IP68,C,"Para equipos instalados a la intemperie pero protegidos de la lluvia directa (bajo techo), el RIC 10 exige un grado de protección mínimo de IP44."
146,RIC 10: Seguridad,¿Qué grado de protección IP requiere un equipo instalado al exterior sin protección de techo?,IP41,IP44,IP54,IP68,C,El RIC 10 especifica que los equipos expuestos directamente a la intemperie deben poseer un grado de protección mínimo de IP54 para resistir polvo y lluvia.
147,RIC 02: Tableros,¿Qué elementos se revisan fundamentalmente en la inspección visual de un tablero?,El precio,"Rotulación, peinado y limpieza",El color de la caja,La marca de tornillos,B,"El Anexo 2.3 del RIC 02 establece que la inspección visual debe verificar la rotulación de circuitos, el orden del cableado (peinado) y la limpieza general."
148,RIC 04: Conductores,¿Qué sección de cable soporta al menos 18 A bajo el método de instalación A1 (70 °C)?,"1,5 mm²","2,5 mm²","4,0 mm²","6,0 mm²",B,"De acuerdo con la Tabla 4.4 del RIC 04, el conductor de 2,5 mm² soporta hasta 23 A en método A1, siendo suficiente para una carga de 18 A."
149,RIC 10: Cocinas,¿Cuál es la potencia mínima proyectada que se debe asignar a un horno eléctrico?,100 W,250 W,1500 W,2000 W,C,"Para efectos de cálculo de carga, el RIC 10 establece que un circuito exclusivo para horno eléctrico se computará con una potencia mínima de 1.500 W."
150,RIC 10: Seguridad,¿Qué dispositivo se utiliza para detectar fallas de arco en instalaciones de consumo?,Disyuntor común,Diferencial,AFDD,Fusible rápido,C,El RIC 10 recomienda el uso de dispositivos de detección de falla de arco (AFDD) para aumentar la seguridad contra incendios en instalaciones.
151,RIC 10: Alumbrado,¿Qué iluminancia mínima requiere un área de ventas minorista según la normativa?,100 lux,300 lux,500 lux,1000 lux,B,El Anexo 10.1 del RIC 10 especifica un nivel de 300 lux para las áreas de ventas en establecimientos minoristas.
152,RIC 10: Alumbrado,¿Qué nivel de iluminancia se exige específicamente para el área de cajas en una tienda?,300 lux,500 lux,750 lux,1000 lux,B,"El área de cajas requiere una mayor concentración visual, por lo que el RIC 10 exige un mínimo de 500 lux."
153,RIC 11: Especiales,¿A qué altura mínima se deben instalar los enchufes en salas cuna y jardines infantiles?,"1,0 m","1,2 m","1,5 m","2,0 m",C,"Para garantizar la seguridad infantil, el RIC 11 establece que en estos recintos los enchufes deben situarse a una altura mínima de 1,50 m."
154,RIC 10: Diseño,¿Cuántos centros de luz requiere un recinto de superficie inferior a 10 m²?,Al menos 1,Al menos 2,Al menos 3,Ninguno,A,El punto 5.3.1 del RIC 10 indica que en recintos menores a 10 m² es obligatorio proyectar al menos un punto o centro de iluminación.
155,RIC 06: Tierra,¿Cuál es la sección mínima del conductor de protección que se conecta a la malla de tierra?,"1,5 mm²","2,5 mm²","4,0 mm²",10 mm²,C,"Tanto el RIC 06 como el RIC 02 establecen que el conductor de puesta a tierra de protección debe tener una sección mínima de 4,0 mm²."
156,RIC 10: Canalización,"¿Qué función tiene la ""unión-doble"" en canalizaciones para ambientes explosivos?",Unir dos cables,Permitir desmontar envolventes para mantención,Sellar el agua,Es un adorno,B,"En canalizaciones antideflagrantes, este accesorio permite desconectar tramos rígidos para facilitar el mantenimiento de equipos."
157,RIC 10: Seguridad,¿Cuál es el rango de temperatura ambiente estándar para el diseño de equipos Ex?,0 a 30 °C,-20 a +40 °C,10 a 50 °C,-50 a +100 °C,B,La normativa para atmósferas explosivas define un rango de operación segura estándar entre -20 °C y +40 °C.
158,RIC 18: Proyectos,¿Qué dato crítico se registra en el informe de imágenes respecto a la malla de tierra?,La lluvia,Valor de resistencia en la pantalla del equipo,La cara del dueño,El nombre de la calle,B,El RIC 18 exige documentar mediante fotos el valor final de la medición de resistencia obtenido directamente del instrumento (telurómetro).
159,RIC 02: Tableros,¿Qué porcentaje de reserva de capacidad adicional se recomienda para el diseño de circuitos?,5%,10%,20%,50%,B,Se recomienda proyectar los circuitos con un margen de reserva de potencia del 10% para absorber pequeñas variaciones de carga.
160,Normativa General,¿Cuál es el objetivo final de la aplicación de los pliegos técnicos RIC?,Cobrar multas,Gastar más cobre,Garantizar seguridad y calidad,Retrasar obras,C,"El objetivo fundamental de toda la normativa SEC es salvaguardar a las personas y propiedades, asegurando un estándar de calidad técnica."
161,RIC 11: Especiales,¿Qué grado de protección IP mínimo deben tener los equipos en la Zona 0 de una piscina?,IPX4,IPX5,IPX8,IP68,C,El punto 5.7.3.4 del RIC 11 exige específicamente IPX8 para equipos instalados en el interior del vaso de la piscina.
162,RIC 11: Especiales,¿Qué grado de protección IP se exige para equipos en la Zona 1 de una piscina?,IPX1,IPX3,IPX4,IPX5,D,"Según el RIC 11, la Zona 1 requiere al menos IPX5 (o IPX4 si es interior y no se limpia con chorros)."
163,RIC 11: Especiales,¿Está permitida la instalación de líneas aéreas sobre el volumen de una piscina?,"Sí, a 5 m","Sí, si son aisladas","No, está prohibido",Solo en el exterior,C,"El punto 5.7.4.7 del RIC 11 prohíbe taxativamente líneas aéreas sobre los volúmenes 0, 1 y 2 de piscinas."
164,RIC 11: Médicos,¿Cada cuánto tiempo se debe comprobar la sensibilidad de los diferenciales en recintos médicos?,Mensual,Cada 12 meses,Cada 36 meses,Cada 5 años,B,El punto 3.11 del RIC 11 establece la comprobación de la corriente de sensibilidad de los diferenciales cada 12 meses.
165,RIC 11: Médicos,¿Cada cuánto se debe verificar la integridad de la conexión equipotencial en un hospital?,Cada 12 meses,Cada 24 meses,Cada 36 meses,Cada 5 años,C,El RIC 11 exige la verificación de la integridad de la conexión equipotencial suplementaria cada 36 meses.
166,RIC 11: Médicos,"En las pruebas mensuales de baterías para servicios respaldados, ¿cuál es el tiempo de autonomía mínimo?",15 min,30 min,60 min,120 min,B,El punto 3.11 f.1 especifica que los servicios respaldados con baterías deben probarse por al menos 30 minutos mensualmente.
167,RIC 11: Eventos,¿A qué altura máxima debe estar el interruptor de desconexión en la estación de un operador de juegos mecánicos?,"1,40 m","1,50 m","1,80 m","2,10 m",C,"El punto 17.3.10 del RIC 11 indica que el seccionador o interruptor debe estar a la vista y a menos de 1,80 m del operador."
168,RIC 11: Vía Pública,¿Qué material es obligatorio para cajas de derivación montadas a la vista en la vía pública?,Plástico reforzado,Metálicas,Cerámicas,Fibra de vidrio,B,El punto 19.3.6 del RIC 11 exige que las cajas de derivación en espacios públicos sean metálicas y con resistencia de grado fuerte.
169,RIC 11: Vía Pública,¿Qué requisito de seguridad deben cumplir las cajas de derivación en espacios públicos?,Ser de color rojo,Cierre con herramienta,Estar a 3 m de altura,Sin requisito,B,Deben contar con un sistema de cierre de seguridad que solo pueda abrirse con herramientas para evitar manipulaciones.
170,RIC 11: Escuelas,¿Cuál es la dotación mínima de enchufes hembra triples en recintos educacionales?,Uno por sala,Uno cada 2 m²,Uno cada 5 m²,Uno por pared,C,El punto 4.3.6 del RIC 11 exige al menos un enchufe triple por cada 5 m² de superficie o fracción.
171,RIC 11: Deportes,¿Qué equipo es obligatorio en recintos deportivos que se utilicen para espectáculos masivos?,Luces de 1000 lux,Grupo electrógeno,Cable de 10 mm²,Megáfono,B,El punto 21.4.4 exige grupos electrógenos para asegurar la iluminación total durante espectáculos en recintos deportivos.
172,RIC 18: Proyectos,¿Qué método se debe informar para la medición de la resistividad geoeléctrica del terreno?,Ohmímetro simple,Schlumberger o Wenner,Inyección de agua,Por caída de tensión,B,El punto 6.2.3.2.8 del RIC 18 exige detallar el método Wenner o Schlumberger para la determinación geoeléctrica.
173,RIC 18: Formatos,"Según la norma NCh 13. Of 93, ¿cuál es el margen izquierdo para planos de proyectos eléctricos?",10 mm,20 mm,30 mm,50 mm,C,El Anexo 18.1 del RIC 18 establece un margen izquierdo de 30 mm para permitir el archivado de los planos.
174,RIC 18: Simbología,¿Qué debe hacerse si un componente no figura en el catálogo de simbología oficial del RIC 18?,No se puede usar,Usar foto,Definirlo en el cuadro de símbolos,Inventar nombre,C,El punto 6.3.10 permite usar simbología distinta siempre que se describa claramente en el cuadro de simbología del plano.
175,RIC 03: Caída,¿Cuál es el porcentaje máximo de caída de tensión permitido en un subalimentador?,1%,2%,3%,5%,C,El RIC 03 limita la caída de tensión en alimentadores y subalimentadores a un máximo del 3% de la tensión nominal.
176,RIC 03: Caída,¿Cuál es el porcentaje máximo de caída de tensión total hasta el punto más desfavorable?,2%,3%,4%,5%,D,El RIC 03 establece que la caída de tensión total acumulada en la instalación no debe exceder el 5%.
177,RIC 04: Canalización,¿Qué distancia mínima debe haber entre escalerillas portaconductores montadas una sobre otra?,"0,15 m","0,20 m","0,30 m","0,50 m",C,"El punto 7.11.21 del RIC 04 fija una distancia útil mínima de 0,30 m entre sistemas de escalerillas superpuestas."
178,RIC 04: Cajas,¿Qué porcentaje máximo de ocupación de entradas se permite en cajas de derivación?,25%,40%,50%,60%,C,El punto 5.12.3 del RIC 04 indica que se deberá utilizar como máximo un 50% de las entradas disponibles en la caja.
179,RIC 02: Distancias,"Para 400 V, ¿qué distancia mínima debe haber entre partes energizadas montadas en la misma superficie?",15 mm,20 mm,30 mm,35 mm,D,"Según la Tabla 2.2 del RIC 02, para tensiones entre 201 y 400 V, la distancia mínima sobre superficie es de 35 mm."
180,RIC 01: Empalmes,¿Qué relación debe haber entre la capacidad del empalme y la potencia instalada total?,Siempre mayor,Igual o inferior,Siempre 50%,No tienen relación,B,"El punto 5.3 del RIC 01 establece que la capacidad puede ser igual o inferior, pero nunca superior a la potencia total instalada."
181,RIC 10: Cajas,¿Qué prohibición establece el punto 5.1.2.6 del RIC 10 respecto a los módulos de comando?,Usar solo cobre,Instalar módulos sin caja de derivación,Usar tubos rojos,No usar diferenciales,B,"Según el RIC 10, está prohibida la instalación de mecanismos (interruptores o enchufes) que no queden alojados en cajas de derivación o de aparatos."
182,RIC 18: Proyectos,¿Cuál es el objetivo fundamental del Pliego Técnico Normativo RIC N° 18?,Cobrar multas,Establecer requisitos para presentación de proyectos,Vender cables,Hacer planos bonitos,B,El RIC 18 fija los estándares mínimos y la documentación necesaria para la elaboración y declaración de proyectos eléctricos ante la SEC.
183,RIC 10: Enchufes,¿A qué distancia se deben proyectar los enchufes en un dormitorio según el RIC 10?,Cada 1 metro,Uno doble/triple cada 8 m de perímetro,No hay regla,Cada 10 metros,B,El punto 5.4.1 del RIC 10 establece que en dormitorios se debe considerar al menos un enchufe doble o triple por cada 8 m de perímetro.
184,RIC 10: Alumbrado,¿Qué iluminancia mínima requiere una oficina destinada al tratamiento de datos?,100 lux,300 lux,500 lux,1000 lux,C,"Según las tablas de iluminancia (Anexo 10.1), las tareas de oficina como el tratamiento de datos requieren 500 lux."
185,RIC 10: Alumbrado,¿Qué iluminancia mínima (lux) se exige para una zona de dibujo técnico?,300 lux,500 lux,750 lux,1500 lux,C,"Las tareas de dibujo técnico manual requieren un nivel de iluminación más exigente, fijado en 750 lux por la normativa."
186,RIC 03: Alimentadores,¿Cuál es la sección mínima de conductor permitida para un alimentador de edificio?,"1,5 mm²","2,5 mm²","4,0 mm²",10 mm²,C,"El RIC 03 prohíbe el uso de conductores de sección inferior a 4,0 mm² para alimentadores en instalaciones de consumo."
187,RIC 10: Seguridad,¿Qué grado de protección IP requiere un equipo instalado al exterior bajo techo?,IP20,IP41,IP44,IP68,C,"Para equipos a la intemperie protegidos de lluvia directa (bajo techo), el RIC 10 exige un grado de protección mínimo de IP44."
188,RIC 10: Seguridad,¿Qué grado de protección IP requiere un equipo instalado al exterior sin protección de techo?,IP41,IP44,IP54,IP68,C,Equipos expuestos directamente a la intemperie deben poseer un grado de protección mínimo de IP54 para resistir polvo y lluvia.
189,RIC 02: Tableros,¿Qué elementos se revisan fundamentalmente en la inspección visual de un tablero?,El precio,"Rotulación, peinado y limpieza",El color,La marca de tornillos,B,"El Anexo 2.3 del RIC 02 establece que la inspección visual debe verificar la rotulación, el orden del cableado y la limpieza general."
190,RIC 04: Conductores,¿Qué sección de cable soporta al menos 18 A bajo el método de instalación A1?,"1,5 mm²","2,5 mm²","4,0 mm²","6,0 mm²",B,"Según la Tabla 4.4 del RIC 04, el conductor de 2,5 mm² en método A1 es el adecuado para soportar corrientes en ese rango."
191,RIC 10: Cocinas,¿Cuál es la potencia mínima proyectada que se debe asignar a un horno eléctrico?,100 W,250 W,1500 W,2000 W,C,"Para efectos de cálculo de carga, un circuito exclusivo para horno eléctrico se computará con una potencia mínima de 1.500 W."
192,RIC 10: Seguridad,¿Qué dispositivo se utiliza para detectar fallas de arco en instalaciones de consumo?,Disyuntor común,Diferencial,AFDD,Fusible rápido,C,El RIC 10 y el RIC 02 recomiendan dispositivos AFDD (detección de falla de arco) para aumentar la seguridad contra incendios.
193,RIC 10: Alumbrado,¿Qué iluminancia mínima requiere un área de ventas minorista según la normativa?,100 lux,300 lux,500 lux,1000 lux,B,El Anexo 10.1 del RIC 10 especifica un nivel de iluminancia de 300 lux para las áreas de ventas en establecimientos minoristas.
194,RIC 10: Alumbrado,¿Qué nivel de iluminancia se exige específicamente para el área de cajas en una tienda?,300 lux,500 lux,750 lux,1000 lux,B,"El área de cajas requiere una mayor concentración visual, por lo que la normativa exige un mínimo de 500 lux."
195,RIC 11: Especiales,¿A qué altura mínima se deben instalar los enchufes en jardines infantiles o salas cuna?,"1,0 m","1,2 m","1,5 m","2,0 m",C,"El RIC 11 establece que en estos recintos los enchufes deben situarse a una altura mínima de 1,50 m para seguridad infantil."
196,RIC 10: Diseño,¿Cuántos centros de luz requiere un recinto de superficie inferior a 10 m²?,Al menos 1,Al menos 2,Al menos 3,Ninguno,A,El RIC 10 indica que en recintos menores a 10 m² es obligatorio proyectar al menos un punto o centro de iluminación.
197,RIC 06: Tierra,¿Cuál es la sección mínima del conductor de protección que se conecta a la malla de tierra?,"1,5 mm²","2,5 mm²","4,0 mm²",10 mm²,C,"Los pliegos RIC 06 y RIC 02 establecen que el conductor de puesta a tierra de protección debe tener una sección mínima de 4,0 mm²."
198,RIC 10: Canalización,"¿Qué función tiene la ""unión-doble"" en canalizaciones para ambientes explosivos?",Unir dos cables,Permitir desmontar envolventes para mantención,Sellar el agua,Es un adorno,B,"En canalizaciones antideflagrantes, este accesorio permite desconectar tramos rígidos para facilitar el mantenimiento de equipos."
199,RIC 10: Seguridad,¿Cuál es el rango de temperatura ambiente estándar para el diseño de equipos Ex?,0 a 30 °C,-20 a +40 °C,10 a 50 °C,-50 a +100 °C,B,La normativa para atmósferas explosivas define un rango de operación segura estándar entre -20 °C y +40 °C.
200,RIC 18: Proyectos,¿Qué dato crítico se registra en el informe de imágenes respecto a la malla de tierra?,La lluvia,Valor de resistencia en la pantalla del equipo,La cara del instalador,El nombre de la calle,B,El RIC 18 exige documentar con fotos el valor final de la medición de resistencia obtenido directamente del instrumento de medida.
201,RIC 01: Capacidad,¿Cuál es el límite reglamentario para la capacidad del empalme respecto a la potencia total instalada?,Siempre debe ser mayor,Puede ser el doble,"Igual o inferior, pero nunca superior",No existe restricción,C,"Según el punto 5.3 del RIC 01, la capacidad se determina por la potencia instalada, pudiendo ser igual o inferior, pero nunca superior a esta."
202,RIC 01: Materiales,¿Qué resistencia mecánica mínima (IK) se exige para todas las cajas de empalme?,IK 05,IK 07,IK 08,IK 09,D,El punto 6.5 del RIC 01 establece que todas las cajas de empalme deben tener una resistencia mecánica mínima de IK 09.
203,RIC 01: Ubicación,¿Cuál es el radio máximo para ubicar el medidor desde la puerta de acceso principal?,5 m,10 m,15 m,20 m,C,El punto 7.2 y el Anexo 1.1 indican que la unidad de medida debe situarse dentro de un semicírculo de radio no superior a 15 m desde el acceso.
204,RIC 01: Concentración,¿Hasta qué número de pisos se acepta reglamentariamente la concentración de empalmes en un solo recinto?,3 pisos,5 pisos,6 pisos,10 pisos,C,"De acuerdo con el punto 7.7 del RIC 01, se acepta la concentración de empalmes en edificios de altura hasta 6 pisos; sobre esta altura se requieren recintos cada 6 pisos o fracción."
205,RIC 01: Alturas,¿Cuál es la altura mínima permitida para el borde inferior de una caja de empalme en un recinto concentrado?,"0,45 m","0,60 m","0,80 m","1,00 m",C,"El punto 7.8.4 especifica que el borde inferior de ninguna caja de empalme quedará a una altura inferior a 0,80 m sobre el nivel del suelo terminado."
206,RIC 01: Alturas,¿Cuál es la altura máxima permitida para el borde superior de una caja de empalme?,"1,80 m","2,00 m","2,10 m","2,50 m",C,"Según los puntos 7.8.4 y 7.9.1, el borde superior de las cajas de empalme no debe superar los 2,10 m de altura."
207,RIC 01: Espacio,¿Qué porcentaje de superficie disponible adicional se debe dejar en recintos de empalmes para futuras ampliaciones?,10%,15%,25%,50%,B,El punto 7.8.5 exige dejar una superficie disponible de al menos un 15% de la utilizada para futuros aumentos de capacidad.
208,RIC 01: Seguridad,¿Qué requisito de alumbrado de emergencia debe cumplir un recinto de empalmes concentrados?,1 hora / 1 lux,1 hora / 5 lux,2 horas / 5 lux,3 horas / 10 lux,C,El punto 7.8.8 establece la instalación de un equipo autónomo de emergencia con autonomía no inferior a 2 horas y un nivel mínimo de 5 lux.
209,RIC 01: Pasillos,"En empalmes distribuidos, ¿qué ancho mínimo debe tener el pasillo frente a la parte más saliente del armario?","0,8 m","1,1 m","1,5 m","2,0 m",C,"Según el punto 7.9.4, desde la parte más saliente del armario hasta la pared opuesta debe respetarse un pasillo de 1,5 m como mínimo."
210,RIC 01: Protección,¿Qué resistencia al fuego mínima deben tener los armarios destinados a empalmes distribuidos o mixtos?,RF 15,RF 30,RF 60,RF 120,B,El punto 7.9.5 del RIC 01 exige que los armarios tengan una característica de resistencia al fuego mínima de RF 30.
211,RIC 01: Viviendas Sociales,¿Qué está prohibido instalar en los alimentadores de viviendas sociales entre el medidor y el primer tablero?,Canalizaciones,Cajas de derivación o paso,Cables de 4 mm²,Diferenciales,B,"El punto 7.14 y el Anexo 1.6 prohíben la instalación de cajas de distribución o paso en zonas comunes para estos alimentadores, debiendo ser directos."
212,RIC 01: Canalización,"En el uso de ductos para alimentadores, ¿cuál es el diámetro mínimo permitido y su capacidad de ampliación?",20 mm / 50%,25 mm / 75%,32 mm / 100%,40 mm / 125%,C,El punto 7.15 indica que el diámetro no podrá ser inferior a 32 mm y debe permitir ampliar la sección de los conductores en un 100%.
213,RIC 01: Recintos,¿Está permitido usar el recinto de empalmes como bodega o lugar de almacenamiento?,"Sí, si hay espacio","No, está prohibido",Solo para materiales eléctricos,Solo con permiso SEC,B,"El punto 7.16 establece explícitamente que no puede usarse este recinto como lugar de estadía de personal, bodega, ni almacenamiento de ninguna especie."
